0.000000000000000000e+00,3.000000000000000000e+00,-2.000004291534423828e+00,-2.931337337940931320e-03,9.999600648880004883e-01,8.939895778894424438e-03,-1.574656780022141295e-14,-1.761311257432451871e-12
1.000000000000000000e+00,3.000000000000000000e+00,-2.915851354598999023e+00,2.441349744796752930e+00,9.978854060173034668e-01,6.499750912189483643e-02,-1.529701088021084843e-10,-2.348499839044393411e-09
2.000000000000000000e+00,3.000000000000000000e+00,-5.061647415161132812e+00,5.763735294342041016e+00,9.999558329582214355e-01,-9.401084855198860168e-03,5.521672702402113941e-11,-5.873182828963763313e-09
3.000000000000000000e+00,3.000000000000000000e+00,-7.107394218444824219e+00,9.443372726440429688e+00,9.998894929885864258e-01,-1.486708316951990128e-02,6.006867225849532588e-11,-4.039934164978831177e-09
4.000000000000000000e+00,3.000000000000000000e+00,-8.884016036987304688e+00,1.299379825592041016e+01,9.999396800994873047e-01,1.098163053393363953e-02,-0.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.000000000000000000e+00,-1.047823333740234375e+01,1.590195274353027344e+01,9.617878794670104980e-01,-2.737956047058105469e-01,0.000000000000000000e+00,-0.000000000000000000e+00
6.000000000000000000e+00,3.000000000000000000e+00,-9.481181144714355469e+00,1.547724914550781250e+01,9.946433305740356445e-01,-1.033666282892227173e-01,0.000000000000000000e+00,-0.000000000000000000e+00
7.000000000000000000e+00,3.000000000000000000e+00,-6.346943378448486328e+00,1.540450191497802734e+01,9.997106194496154785e-01,-2.405508235096931458e-02,0.000000000000000000e+00,-0.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,-2.733860731124877930e+00,1.541126060485839844e+01,9.999595284461975098e-01,-8.994705043733119965e-03,0.000000000000000000e+00,-0.000000000000000000e+00
9.000000000000000000e+00,3.000000000000000000e+00,1.009905934333801270e+00,1.541056823730468750e+01,9.999825358390808105e-01,-5.911650601774454117e-03,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+01,3.000000000000000000e+00,4.752184391021728516e+00,1.540877437591552734e+01,9.999861717224121094e-01,-5.260250996798276901e-03,0.000000000000000000e+00,-0.000000000000000000e+00
1.100000000000000000e+01,3.000000000000000000e+00,8.488240242004394531e+00,1.540680503845214844e+01,9.999868273735046387e-01,-5.134284961968660355e-03,0.000000000000000000e+00,-0.000000000000000000e+00
1.200000000000000000e+01,3.000000000000000000e+00,1.106969833374023438e+01,1.444604301452636719e+01,9.725685119628906250e-01,2.326166778802871704e-01,-5.796959712256466446e-08,1.386503356570756296e-08
1.300000000000000000e+01,3.000000000000000000e+00,9.881358146667480469e+00,1.230572700500488281e+01,9.981203675270080566e-01,6.128397583961486816e-02,-0.000000000000000000e+00,-0.000000000000000000e+00
1.400000000000000000e+01,3.000000000000000000e+00,7.553053855895996094e+00,9.025732994079589844e+00,9.986795783042907715e-01,-5.137215554714202881e-02,-1.368123125899955994e-08,2.659644167124497471e-07
1.500000000000000000e+01,3.000000000000000000e+00,5.972899436950683594e+00,5.201948165893554688e+00,9.993933439254760742e-01,-3.482737764716148376e-02,-9.275091805704960279e-09,2.661545579485391499e-07
1.600000000000000000e+01,2.957575559616088867e+00,4.859909057617187500e+00,1.896512985229492188e+00,9.945988059043884277e-01,9.158472716808319092e-02,-4.879852384328842163e-02,-2.040825784206390381e-03
1.700000000000000000e+01,1.997577071189880371e+00,2.154425144195556641e+00,1.708415031433105469e+00,9.993841052055358887e-01,1.742511428892612457e-02,-2.995148301124572754e-02,-5.526559427380561829e-03
1.800000000000000000e+01,7.538102269172668457e-01,-1.055603742599487305e+00,1.765657305717468262e+00,9.868208765983581543e-01,-1.232052105478942394e-03,1.617840677499771118e-01,3.002123674377799034e-03
1.900000000000000000e+01,1.796254515647888184e+00,-4.245126247406005859e+00,2.352571964263916016e+00,9.951793551445007324e-01,-4.490877687931060791e-02,8.658986538648605347e-02,1.016473118215799332e-02
2.000000000000000000e+01,4.511968135833740234e+00,-6.244506835937500000e+00,1.936014175415039062e+00,9.918569922447204590e-01,-1.191193014383316040e-01,3.811636939644813538e-02,2.403174526989459991e-02
2.100000000000000000e+01,7.913263797760009766e+00,-6.123370647430419922e+00,1.552385807037353516e+00,9.859383702278137207e-01,-1.367828696966171265e-01,-9.042386710643768311e-02,3.224099054932594299e-02
2.200000000000000000e+01,9.416753768920898438e+00,-3.911478757858276367e+00,1.787160873413085938e+00,9.887750744819641113e-01,-4.754438996315002441e-02,-1.278205662965774536e-01,6.103455275297164917e-02
2.300000000000000000e+01,8.497992515563964844e+00,-7.933861613273620605e-01,1.481091856956481934e+00,9.979859590530395508e-01,-2.134802378714084625e-02,-2.779692644253373146e-03,5.967051535844802856e-02
2.400000000000000000e+01,7.502655029296875000e+00,2.686903238296508789e+00,1.505181431770324707e+00,9.946315288543701172e-01,-4.468194209039211273e-03,8.660025894641876221e-02,5.646683648228645325e-02
2.500000000000000000e+01,7.650299549102783203e+00,6.130788326263427734e+00,1.175532698631286621e+00,9.631893038749694824e-01,2.036049067974090576e-01,-1.611779630184173584e-01,6.951981782913208008e-02
2.600000000000000000e+01,5.943996906280517578e+00,5.986793041229248047e+00,1.197764635086059570e+00,9.874840378761291504e-01,1.184063777327537537e-01,-1.446007657796144485e-02,1.031795069575309753e-01
2.700000000000000000e+01,3.902702808380126953e+00,3.643750429153442383e+00,5.122748613357543945e-01,9.941112995147705078e-01,-1.257737539708614349e-02,-3.620102256536483765e-02,1.013616323471069336e-01
2.800000000000000000e+01,1.898867726325988770e+00,1.784363865852355957e+00,7.477120161056518555e-01,9.803939461708068848e-01,-1.084589213132858276e-01,1.433357745409011841e-01,8.074153214693069458e-02
2.900000000000000000e+01,1.886377215385437012e+00,1.965921282768249512e+00,4.771293401718139648e-01,9.950236082077026367e-01,-2.935000881552696228e-02,4.893482103943824768e-02,8.168152719736099243e-02
