0.000000000000000000e+00,3.107711447247113938e+03,4.063465245530658649e+03,3.898985547674614281e+03,3.312857545006281271e+03
2.000000000000000111e-01,3.658733078990444028e+03,3.324157118547745540e+03,3.370855941525823255e+03,3.647164232071141214e+03
4.000000000000000222e-01,4.462836132490682758e+03,4.410525407524469301e+03,4.429929701748907974e+03,4.457092799449077575e+03
6.000000000000000888e-01,5.159907972463962324e+03,5.148803068420761520e+03,5.153323014405909817e+03,5.160290317346780284e+03
8.000000000000000444e-01,3.882711119335441253e+03,3.832364574636145790e+03,3.836998757811891664e+03,3.881756714235418258e+03
1.000000000000000000e+00,3.894043623495624161e+03,3.896390148645360568e+03,3.894858146321445474e+03,3.899565476269742703e+03
1.200000000000000178e+00,4.157586490834403776e+03,4.169611120830481013e+03,4.166517391199383383e+03,4.164079942571415813e+03
1.400000000000000133e+00,4.130474100458633075e+03,4.137792857613436354e+03,4.132910674822386682e+03,4.137567297446285920e+03
1.600000000000000089e+00,4.030033964839223245e+03,4.040542329267233526e+03,4.036004315155001223e+03,4.035513561509676492e+03
1.800000000000000044e+00,3.953414323409367626e+03,3.960711515380231049e+03,3.963699167620059143e+03,3.950323216570910972e+03
2.000000000000000000e+00,3.780494478833667927e+03,3.795927864999202029e+03,3.795976532373768350e+03,3.779746691509497396e+03
2.200000000000000178e+00,3.725692100858233971e+03,3.725056510774829349e+03,3.728880542445822357e+03,3.721071905909908310e+03
2.400000000000000355e+00,3.670302217331151951e+03,3.667478343920701718e+03,3.674765336142404976e+03,3.662496495009283535e+03
2.600000000000000089e+00,3.633809554784527791e+03,3.642975340801604489e+03,3.643719631068920080e+03,3.632937330520598152e+03
2.800000000000000266e+00,3.660669574223926247e+03,3.656756076181724438e+03,3.663505978754773423e+03,3.654027497570574724e+03
3.000000000000000000e+00,3.687248954850707378e+03,3.684367962844958129e+03,3.691944627942821171e+03,3.679768167394953707e+03
3.200000000000000178e+00,3.712029099725566994e+03,3.715892764707584320e+03,3.716727978453131072e+03,3.711192428872996970e+03
3.400000000000000355e+00,3.486185379548402580e+03,4.568829302974501843e+03,3.428383401055552440e+03,4.612327153244593319e+03
3.600000000000000089e+00,6.374633401933931054e+03,5.672040874872152017e+03,5.641897993310078164e+03,6.369996304544140003e+03
3.800000000000000266e+00,6.287651689621168771e+03,6.276123058855698218e+03,6.393543154034786312e+03,6.190242336609465383e+03
4.000000000000000000e+00,6.281484047014484531e+03,6.396667191491961603e+03,6.340081314520453816e+03,6.388563927916009561e+03
4.200000000000000178e+00,6.366461362906497016e+03,6.386699413769460079e+03,6.387158693903089443e+03,6.391198960256287137e+03
4.400000000000000355e+00,6.377296410729049057e+03,6.392482380122089126e+03,6.384557466445744467e+03,6.396578599384966765e+03
4.600000000000000533e+00,6.383879037415865241e+03,6.394401681492699936e+03,6.394381864837188004e+03,6.389003974236936301e+03
4.800000000000000711e+00,6.375282688823352146e+03,6.396667191491961603e+03,6.388952684069729003e+03,6.386228476779647281e+03
5.000000000000000000e+00,5.259968677414599370e+03,5.266874781860507028e+03,5.270389906842638084e+03,5.260773000491260063e+03
5.200000000000000178e+00,2.637545558470719243e+03,4.192302357077260240e+03,4.057491398158025731e+03,2.848188155341805668e+03
5.400000000000000355e+00,3.448170040162809983e+03,3.566759318017102032e+03,3.547159771451589222e+03,3.450627596867694137e+03
5.600000000000000533e+00,3.527070345504965189e+03,3.494222199044108493e+03,3.426236499567958163e+03,3.565376814873740386e+03
5.800000000000000711e+00,3.498893101316832599e+03,3.514376611963955838e+03,3.479619072460243387e+03,3.521360234503483753e+03
6.000000000000000000e+00,3.529825152042528316e+03,3.477980118480845249e+03,3.464503044204304842e+03,3.541472974162474657e+03
6.200000000000000178e+00,3.519576735507409921e+03,3.489634351871692161e+03,3.485954865217373936e+03,3.519086564704894045e+03
6.400000000000000355e+00,3.517542031260582007e+03,3.494985140281317854e+03,3.492829496151586227e+03,3.508980070393809456e+03
6.600000000000000533e+00,3.521082218483507404e+03,3.493727074077714860e+03,3.494735392137586587e+03,3.504782436482135381e+03
6.800000000000000711e+00,3.519054799771794023e+03,3.496680047170397302e+03,3.480996912861131932e+03,3.517522797447878929e+03
7.000000000000000000e+00,3.412001146796682406e+03,3.599650303424432877e+03,3.686855535954514835e+03,3.302830025895839754e+03
7.200000000000000178e+00,6.314194933993780978e+03,6.266685668089546198e+03,6.127298227432674139e+03,6.396667191491961603e+03
7.400000000000000355e+00,6.396665442963533678e+03,6.350448339567238691e+03,6.349149765788398327e+03,6.376105662869906155e+03
